steps,dish_time,dish_stddev,dish_loops,fastdish_time,fastdish_stddev,fastdish_loops,fastdish_pickled_time,fastdish_pickled_stddev,fastdish_pickled_loops,dish_intel_time,dish_intel_stddev,dish_intel_loops
    1,  4.14e-3,  16.2e-6,  100,  3.71e-3,  1.95e-3, 100,  2.81e-3,  44.7e-6,  100,   153e-6,   3.1e-6, 10000
    2,  6.34e-3,   685e-6,  100,  3.43e-3,  1.03e-3, 100,  2.82e-3,  5.28e-6,  100,   269e-6,  2.93e-6,  1000
    4,  12.4e-3,  21.8e-6,  100,  3.52e-3,   365e-6, 100,  5.45e-3,  3.63e-3,  100,   419e-6,  6.73e-6,  1000
    8,  20.9e-3,  3.36e-3,  100,  4.52e-3,   106e-6, 100,  2.73e-3,  25.2e-6,  100,   694e-6,     4e-6,  1000
   16,  43.9e-3,  6.98e-3,   10,  7.02e-3,   437e-6, 100,  2.85e-3,   307e-6,  100,  1.27e-3,    11e-6,  1000
   32,  63.9e-3,  1.55e-3,   10,  13.8e-3,  44.2e-6, 100,  2.78e-3,   106e-6,  100,  2.41e-3,  49.9e-6,   100
   64,   120e-3,   488e-6,   10,  22.7e-3,   172e-6,  10,  2.89e-3,  20.2e-6,  100,  4.64e-3,  48.6e-6,   100
  128,   236e-3,  3.25e-3,    1,    40e-3,   201e-6,  10,  4.89e-3,  3.75e-3,  100,  9.23e-3,  76.7e-6,   100
  256,   470e-3,  9.79e-3,    1,  76.2e-3,   460e-6,  10,  2.87e-3,  17.5e-6,  100,  18.2e-3,  19.3e-6,   100
  512,   922e-3,  2.18e-3,    1,   147e-3,   712e-6,  10,   3.4e-3,   907e-6,  100,  36.6e-3,   660e-6,    10
 1024,     1.85,   6.7e-3,    1,   292e-3,  9.89e-3,   1,   3.5e-3,   282e-6,  100,  72.3e-3,   453e-6,    10
 2048,     3.69,  22.6e-3,    1,   581e-3,  9.18e-3,   1,  4.06e-3,   171e-6,  100,   144e-3,  1.12e-3,    10
 4096,     7.35,  6.27e-3,    1,     1.15,  7.35e-3,   1,   4.9e-3,  20.7e-6,  100,   289e-3,  2.94e-3,     1
 8192,     14.7,  19.4e-3,    1,     2.36,  80.2e-3,   1,  10.4e-3,  53.1e-6,  100,   581e-3,  8.89e-3,     1
16384,     29.4,    22e-3,    1,     4.77,    94e-3,   1,  15.7e-3,  13.3e-6,  100,     1.15,  8.35e-3,     1
32768,       59,  89.6e-3,    1,     9.43,  59.3e-3,   1,  25.9e-3,   222e-6,   10,     2.27,  6.81e-3,     1
