steps,dish_time,dish_stddev,dish_loops,fastdish_time,fastdish_stddev,fastdish_loops,fastdish_pickled_time,fastdish_pickled_stddev,fastdish_pickled_loops,dish_intel_time,dish_intel_stddev,dish_intel_loops,dishy_intel_time,dishy_intel_stddev,dishy_intel_loops
1,0.028200000,0.000150000,10,0.003310000,0.000014000,100,0.003670000,0.001800000,100,0.001060000,0.000009000,1000,0.000011768,0.000011672,1
2,0.049800000,0.000149000,10,0.006230000,0.003370000,100,0.004180000,0.002350000,100,0.001940000,0.000007000,1000,0.000010691,0.000000900,1
4,0.092900000,0.000290000,10,0.006060000,0.000100000,100,0.003290000,0.000556000,100,0.003730000,0.000063000,100,0.000015542,0.000001315,1
8,0.180000000,0.001630000,10,0.012600000,0.000967000,100,0.002950000,0.000022000,100,0.007280000,0.000059000,100,0.000025256,0.000002189,1
16,0.374000000,0.044400000,1,0.019300000,0.000159000,10,0.002980000,0.000023000,100,0.014300000,0.000035000,100,0.000045929,0.000001549,1
32,0.707000000,0.003660000,1,0.034200000,0.000168000,10,0.003020000,0.000130000,100,0.028500000,0.000531000,10,0.000093635,0.000004104,1
64,1.400000000,0.004340000,1,0.066200000,0.003480000,10,0.003200000,0.000519000,100,0.056100000,0.000902000,10,0.000172068,0.000080480,1
128,2.790000000,0.012800000,1,0.122000000,0.000805000,10,0.003150000,0.000296000,100,0.117000000,0.002220000,10,0.000324854,0.000000913,1
256,5.560000000,0.006050000,1,0.238000000,0.001090000,1,0.003180000,0.000076000,100,0.231000000,0.004560000,1,0.000636921,0.000006957,1
512,11.100000000,0.015800000,1,0.471000000,0.002000000,1,0.003430000,0.000417000,100,0.454000000,0.008040000,1,0.001266500,0.000016993,1
1024,22.200000000,0.027100000,1,0.935000000,0.004060000,1,0.003610000,0.000060000,100,0.906000000,0.007410000,1,0.002516458,0.000018072,1
2048,44.500000000,0.046500000,1,1.870000000,0.018000000,1,0.004300000,0.000068000,100,1.790000000,0.003490000,1,0.004985350,0.000019759,1
4096,88.000000000,0.082100000,1,3.770000000,0.042400000,1,0.005320000,0.000004000,100,3.590000000,0.009080000,1,0.009935930,0.000117608,1
8192,178.000000000,0.270000000,1,7.630000000,0.176000000,1,0.015500000,0.003490000,100,7.170000000,0.017200000,1,0.019738068,0.000188281,1
16384,356.000000000,0.865000000,1,15.200000000,0.115000000,1,0.015500000,0.000061000,100,14.300000000,0.080900000,1,0.042233010,0.027548701,1
32768,712.000000000,1.290000000,1,30.200000000,0.736000000,1,0.025500000,0.000020000,10,28.700000000,0.093800000,1,0.080971492,0.010154635,1
